,x
TCGA-3Z-A93Z-01,0.5228603726100001
TCGA-6D-AA2E-01,0.488904220788
TCGA-A3-3308-01,0.394542831047
TCGA-A3-3311-01,0.461857675149
TCGA-A3-3313-01,0.701368258333
TCGA-A3-3316-01,0.422891166667
TCGA-A3-3317-01,0.423066091667
TCGA-A3-3319-01,0.530444737334
TCGA-A3-3320-01,0.582601825
TCGA-A3-3322-01,0.594837783333
TCGA-A3-3323-01,0.435705483333
TCGA-A3-3326-01,0.456833764569
TCGA-A3-3331-01,0.491275
TCGA-A3-3346-01,0.48742464133900004
TCGA-A3-3347-01,0.35064259999999997
TCGA-A3-3349-01,0.4129419
TCGA-A3-3351-01,0.4242327
TCGA-A3-3357-01,0.5143144000000001
TCGA-A3-3358-01,0.398978464127
TCGA-A3-3362-01,0.43769495833300004
TCGA-A3-3363-01,0.6854162250560001
TCGA-A3-3365-01,0.367877733333
TCGA-A3-3367-01,0.5060318333330001
TCGA-A3-3370-01,0.391296158333
TCGA-A3-3372-01,0.48339314181599996
TCGA-A3-3373-01,0.518958956986
TCGA-A3-3374-01,0.518762984196
TCGA-A3-3376-01,0.273780319098
TCGA-A3-3378-01,0.30663835
TCGA-A3-3380-01,0.46045688335199997
TCGA-A3-3382-01,0.543966179727
TCGA-A3-3383-01,0.505115221983
TCGA-A3-3385-01,0.723825091667
TCGA-A3-3387-01,0.414993208333
TCGA-A3-A6NI-01,0.530433074551
TCGA-A3-A6NJ-01,0.29409534024399997
TCGA-A3-A6NN-01,0.494795035825
TCGA-A3-A8CQ-01,0.503981299124
TCGA-A3-A8OU-01,0.502576061266
TCGA-A3-A8OV-01,0.668667949262
TCGA-A3-A8OW-01,0.497627014569
TCGA-A3-A8OX-01,0.293813279346
TCGA-AK-3426-01,0.33213984099
TCGA-AK-3427-01,0.7437332
TCGA-AK-3429-01,0.470689633333
TCGA-AK-3436-01,0.64036475
TCGA-AK-3440-01,0.823633235203
TCGA-AK-3443-01,0.781928875
TCGA-AK-3444-01,0.557235910763
TCGA-AK-3447-01,0.71806619079
TCGA-AK-3451-01,0.505697206734
TCGA-AK-3453-01,0.6808208333329999
TCGA-AK-3455-01,0.486022941667
TCGA-AK-3456-01,0.547855577553
TCGA-AK-3458-01,0.5987756583330001
