gene,cancer_type,stroma,cancer,normal,ccle_m,entrezgene,ReconGeneName
AACS,ESCA,3.14129671503989,4.35929067765171,3.71189504994762,2.51890210760048,65985,65985.1
AACS,BRCA,3.40917159141097,4.27679257965558,3.81519146751535,2.99967908871347,65985,65985.1
AACS,LUSC,3.2834888307993,4.24573673550468,3.01585135244701,2.7889009543488,65985,65985.1
AACS,OV,2.90688163039126,3.53381707122892,2.9814631322505,2.64485557841771,65985,65985.1
AACS,KIRC,2.48351858443212,3.42002773933427,3.55876579259244,2.66129854165143,65985,65985.1
AACS,KIRP,3.64432452855549,3.76571109496619,3.53884341840944,0,65985,65985.1
AACS,UCEC,3.68025278926731,3.77580071191996,2.94227773332254,2.71440595654781,65985,65985.1
AACS,STAD,2.70189533003139,4.13647913421234,3.64998692017268,2.89695190945398,65985,65985.1
AACS,LGG,3.08730151087609,2.65966885444121,4.78939115136878,2.49309460258413,65985,65985.1
AACS,CESC,3.79080839905201,4.30335949234987,2.88199927940138,2.37946337279924,65985,65985.1
AACS,SKCM,2.93454233633275,3.23951382540599,2.81276447604693,2.39492900336279,65985,65985.1
AACS,LIHC,2.98701656476134,2.79679359420994,2.01829613006652,2.56181324669861,65985,65985.1
AACS,THCA,2.67474436753201,3.89371708796789,3.32077693495115,2.30766212698812,65985,65985.1
AACS,PAAD,2.98626762494664,4.82590666595396,3.38540363736437,2.72570731314039,65985,65985.1
AACS,LUAD,2.96435370083266,4.31821855040431,3.02536418900106,2.50943922743867,65985,65985.1
AADAC,THCA,0.0214407171240103,0.0411271589034288,0.0941743572537326,0.401501518278067,13,13.1
AADAC,UCEC,0.15904115043241,0.536540112797328,0.0602761871205725,0.0261386143186832,13,13.1
AADAC,LUAD,1.58856849598478,0.334049563063316,2.84421371890102,0.109228283416818,13,13.1
AADAC,GBM,0.0671376823972031,0,0,0.0604903858186577,13,13.1
AADAC,CESC,0.158718414131279,0.559322330510489,0.0154702543771967,0.219004023602847,13,13.1
AADAC,CRC,0.413935125293163,0.403438602836854,0.0767742737420702,0.219944047617463,13,13.1
AADAC,BLCA,0.743894563475181,1.68279145958274,0.671832243819267,0.145508536946731,13,13.1
AADAC,KIRP,0,0.0656799678286106,0,0,13,13.1
AADAC,LUSC,1.2519222526794,2.47995609370225,2.48259294008364,0.105017543889261,13,13.1
AADAC,HNSC,0.171634189107815,1.26086475653052,2.39550357619603,0.453164821295072,13,13.1
AADAC,OV,0.7290896734295,1.76380006086535,0.103261843915165,0.0702831819246156,13,13.1
AADAC,STAD,2.21952959250474,1.42093005441361,4.06870434451971,0.420571121258035,13,13.1
AADAC,BRCA,0.317733184928586,0,0.723583326197117,0.0455917041506745,13,13.1
AADAC,PRAD,0.0335668599895305,0,0,0,13,13.1
AADAC,SKCM,0.257886932090161,0,0,0.039533373173003,13,13.1
AADAC,LGG,0.0284084945044328,0,0,0.347493726374434,13,13.1
AADAC,LIHC,6.0690742695741,8.01154733419618,8.79598290359324,1.38263723051609,13,13.1
AADAC,KIRC,0.140971757118887,0,0,0.0398416609149447,13,13.1
AADAC,ESCA,0.853565319986087,1.79350087276683,2.74581741896217,0.475028052112,13,13.1
AADAC,PAAD,2.34150233338054,1.70738873888801,0.541967098166867,2.75855838388884,13,13.1
AADAT,BLCA,0.702457226874828,3.31166633512747,1.9341762228428,2.4669757389294,51166,51166.1
AADAT,BLCA,0.702457226874828,3.31166633512747,1.9341762228428,2.4669757389294,51166,51166.2
AADAT,ESCA,1.2294437796571,2.04531139548256,1.64424560620699,2.1004366929591,51166,51166.1
AADAT,ESCA,1.2294437796571,2.04531139548256,1.64424560620699,2.1004366929591,51166,51166.2
AADAT,KIRP,1.13614155332075,1.76627208978821,1.69116941526961,0,51166,51166.1
AADAT,KIRP,1.13614155332075,1.76627208978821,1.69116941526961,0,51166,51166.2
AADAT,STAD,1.32509173270512,1.73912573243039,1.83122571480652,2.02742642895836,51166,51166.1
AADAT,STAD,1.32509173270512,1.73912573243039,1.83122571480652,2.02742642895836,51166,51166.2
AADAT,GBM,1.70746839820772,2.74149144274509,2.57421551156565,2.50515665566014,51166,51166.1
AADAT,GBM,1.70746839820772,2.74149144274509,2.57421551156565,2.50515665566014,51166,51166.2
AADAT,CRC,1.57100474568723,2.30042416078159,1.41515667308281,2.76301961866087,51166,51166.1
AADAT,CRC,1.57100474568723,2.30042416078159,1.41515667308281,2.76301961866087,51166,51166.2
AADAT,CESC,0.193750902059478,1.98017264807081,1.89826347432279,2.45720833610394,51166,51166.1
AADAT,CESC,0.193750902059478,1.98017264807081,1.89826347432279,2.45720833610394,51166,51166.2
AADAT,PAAD,1.14481172703343,1.48943774137185,1.26446316297392,1.930696352718,51166,51166.1
AADAT,PAAD,1.14481172703343,1.48943774137185,1.26446316297392,1.930696352718,51166,51166.2
AADAT,KIRC,1.0064109158533,1.80932486953869,1.82501735551043,2.31845997444558,51166,51166.1
AADAT,KIRC,1.0064109158533,1.80932486953869,1.82501735551043,2.31845997444558,51166,51166.2
AADAT,LUAD,1.41507207540495,1.74938292389688,1.73689130085741,2.34712226454673,51166,51166.1
AADAT,LUAD,1.41507207540495,1.74938292389688,1.73689130085741,2.34712226454673,51166,51166.2
AADAT,HNSC,0.545485369760733,1.36764605772504,0.98778400090508,1.62795722429622,51166,51166.1
AADAT,HNSC,0.545485369760733,1.36764605772504,0.98778400090508,1.62795722429622,51166,51166.2
AADAT,LGG,1.98298471339873,3.12866584414807,2.57421551156565,2.31664329670464,51166,51166.1
AADAT,LGG,1.98298471339873,3.12866584414807,2.57421551156565,2.31664329670464,51166,51166.2
AADAT,LUSC,0.741920588195091,2.05468622242124,1.66038849101132,2.47195710580585,51166,51166.1
AADAT,LUSC,0.741920588195091,2.05468622242124,1.66038849101132,2.47195710580585,51166,51166.2
AADAT,BRCA,1.1229587346112,1.29609182073927,1.34703045845322,2.16198218083121,51166,51166.1
AADAT,BRCA,1.1229587346112,1.29609182073927,1.34703045845322,2.16198218083121,51166,51166.2
AADAT,SKCM,1.04577452360523,2.0058744243594,1.72524029787124,2.86354691769052,51166,51166.1
AADAT,SKCM,1.04577452360523,2.0058744243594,1.72524029787124,2.86354691769052,51166,51166.2
AADAT,OV,0.927794977227849,1.60507163037778,2.08549169648175,2.10375103902688,51166,51166.1
AADAT,OV,0.927794977227849,1.60507163037778,2.08549169648175,2.10375103902688,51166,51166.2
AADAT,THCA,1.11533202574012,2.68840093702928,2.03615023979671,2.53279428272662,51166,51166.1
AADAT,THCA,1.11533202574012,2.68840093702928,2.03615023979671,2.53279428272662,51166,51166.2
AADAT,PRAD,2.75017977783775,4.1099487375425,2.74080084952801,2.80019890638841,51166,51166.1
AADAT,PRAD,2.75017977783775,4.1099487375425,2.74080084952801,2.80019890638841,51166,51166.2
AADAT,UCEC,1.90636572409467,2.27594857719786,2.20550980910757,2.30820169507796,51166,51166.1
AADAT,UCEC,1.90636572409467,2.27594857719786,2.20550980910757,2.30820169507796,51166,51166.2
AADAT,LIHC,1.47931109671499,2.43031313211868,5.10696603341695,2.53710845073064,51166,51166.1
AADAT,LIHC,1.47931109671499,2.43031313211868,5.10696603341695,2.53710845073064,51166,51166.2
AANAT,KIRP,0.282021190468826,0.141079404773171,0.0738383478752297,0,15,15.1
AANAT,BLCA,0.1849361473437,0.0986866979377066,0.0569014354506969,0.147612698347305,15,15.1
AANAT,BRCA,0.0944686023514878,0.0528799917828126,0.026008762924072,0.164800356475709,15,15.1
AANAT,HNSC,0.119397624625571,0.141233468154633,0.0553007478608189,0.370815499930521,15,15.1
AANAT,OV,0.2279860247617,0.410870822317067,0.154894151723531,0.11117312781057,15,15.1
AANAT,CESC,0.29980288438162,0.0793446633229494,0.0609134256027066,0.143888416930764,15,15.1
AANAT,KIRC,0.165237322087881,0.110539446340012,0.0564386179940003,0.26103011768307,15,15.1
AANAT,ESCA,0.311292532389774,0.164181436962811,0.171279724078356,0.176364506018982,15,15.1
AANAT,PAAD,0.121599291127091,0.182405232381627,0.108005373701267,0.283552673672978,15,15.1
AANAT,STAD,0.237282515507693,0.0473734631666918,0.112980321853849,0.144534748344101,15,15.1
AANAT,GBM,0.69982548333244,0.267143095413589,0.343967032729894,0.139718191461588,15,15.1
AANAT,CRC,0.0983513453610695,0.0888328792556675,0.0499101620726551,0.208574592206594,15,15.1
AANAT,SKCM,0.231031232235414,0.0778425676320636,0.152639035085952,0.133915251019202,15,15.1
AANAT,LUSC,0.15670566743568,0.117564829851889,0.0636423462793189,0.222378794563507,15,15.1
AANAT,THCA,0.0994360239959365,0.168836185766894,0.210192630128502,0.142568939712766,15,15.1
AANAT,PRAD,0.0629307246832124,0.0741663506946584,0.0327252039313552,0.0829747931506623,15,15.1
AANAT,LGG,0.521839623401508,0.280338163358059,0.343967032729894,0.102512277916403,15,15.1
AANAT,LIHC,0.0993067142932099,0.0728220419278195,0,0.076711500037479,15,15.1
AANAT,UCEC,0.213412214917968,0.141382277495978,0.0944993204604392,0.241612220461354,15,15.1
